Fname,Lname,Goals Scored,Assists,Total Points,Minutes,Goals Conceded,Clean Sheets
Michael,Folivi,0,0,0,0,0,0
Daniel,Bachmann,0,0,0,0,0,0
Gerard,Deulofeu,1,1,25,433,3,2
Carl,Stewart,0,0,0,0,0,0
Dodi,Lukebakio,0,0,1,15,1,0
Didier,Ndong,0,0,0,0,0,0
Joy,Mukena,0,0,0,0,0,0
Kieran,Gibbs,0,2,86,2826,44,8
Gareth,Barry,1,2,56,1921,35,4
Daniel,Sturridge,2,1,32,541,8,3
Boaz,Myhill,0,0,1,90,1,0
Ben,Foster,0,0,123,3330,55,10
Allan-Roméo,Nyom,0,1,70,2306,40,7
Jonny,Evans,2,2,78,2269,38,6
Craig,Dawson,2,1,87,2510,39,8
Gareth,McAuley,0,0,8,454,15,0
Jake,Livermore,2,2,89,2671,41,8
Nacer,Chadli,1,0,15,213,4,1
James,Morrison,1,0,13,205,1,2
Claudio,Yacob,0,0,23,898,17,3
James,McClean,1,0,45,1391,20,6
Jonathan,Leko,0,0,0,0,0,0
Matt,Phillips,2,3,81,2087,32,10
Sam,Field,1,0,23,534,7,4
Chris,Brunt,0,8,81,1917,23,9
Salomón,Rondón,7,3,103,2765,48,6
Hal,Robson-Kanu,2,0,32,816,14,4
Jay,Rodriguez,7,1,109,2807,41,10
Ahmed El-Sayed,Hegazi,2,0,114,3386,55,10
Rekeem,Harper,0,0,1,20,0,0
Kane,Wilson,0,0,0,0,0,0
